City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
456,Grand Gaube,MU,72.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
460,Bandarbeyla,SO,77.36,clear sky,9.4942,50.8122,JABIR HOTEL
461,Wewak,PG,77.79,moderate rain,-3.5534,143.6268,In Wewak Boutique Hotel
469,Mackay,AU,71.58,overcast clouds,-21.15,149.2,International Lodge Motel
471,Hobyo,SO,78.62,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
472,Nichinan,JP,73.67,overcast clouds,31.6,131.3667,Guest House Aki
474,Conceicao Da Barra,BR,76.01,scattered clouds,-18.5933,-39.7322,Cricaré Praia Hotel
478,Mpongwe,ZM,72.48,broken clouds,-13.5091,28.155,GCMF Office & Lodge
485,Victoria,HK,85.32,light rain,22.2855,114.1577,Mini Hotel Central
490,Wapi Pathum,TH,80.33,overcast clouds,15.8452,103.3768,Nayai Resort
493,Brookhaven,US,86.95,overcast clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
495,Sao Jose Da Coroa Grande,BR,77.2,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
496,Illapel,CL,78.8,clear sky,-31.6308,-71.1653,Hotel Londres
497,Alyangula,AU,71.47,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
499,Quatre Cocos,MU,71.71,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
500,Pacific Grove,US,78.15,clear sky,36.6177,-121.9166,Lovers Point Inn
501,Sabang,ID,80.74,overcast clouds,5.8933,95.3214,Hotel Citra
502,Manavalakurichi,IN,77.09,overcast clouds,8.1333,77.3,Udaya Boys Hostel
504,Shenjiamen,CN,74.93,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
505,Anton Lizardo,MX,89.22,clear sky,19.05,-95.9833,Hotel CocoAventura
508,Da Nang,VN,77.05,few clouds,16.0678,108.2208,Sun River Hotel
512,Kasangulu,CD,79.68,broken clouds,-4.5911,15.1708,Hôtel le Relais
513,Berbera,SO,88.99,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
